Date,Product,Quantity,Unit_Price,Total_Sales
2026-01-01,Ergonomic Mouse,4,34.99,139.96
2026-01-02,Laptop Stand,1,45.0,45.0
2026-01-02,Wireless Headphones,3,59.99,179.97
2026-01-04,Ergonomic Mouse,2,59.99,119.98
2026-01-05,Laptop Stand,1,89.99,89.99
2026-01-05,Wireless Headphones,1,34.99,34.99
2026-01-08,Ergonomic Mouse,2,34.99,69.98
2026-01-09,Wireless Headphones,3,89.99,269.96999999999997
2026-01-09,Mechanical Keyboard,4,34.99,139.96
2026-01-12,Wireless Headphones,1,89.99,89.99
2026-01-13,Wireless Headphones,1,89.99,89.99
2026-01-14,Ergonomic Mouse,1,34.99,34.99
2026-01-14,Laptop Stand,4,129.99,519.96
2026-01-15,Ergonomic Mouse,3,34.99,104.97
2026-01-15,Wireless Headphones,2,129.99,259.98
2026-01-15,USB-C Hub,1,45.0,45.0
2026-01-15,Wireless Headphones,3,34.99,104.97
2026-01-15,Wireless Headphones,4,34.99,139.96
2026-01-18,Wireless Headphones,4,34.99,139.96
2026-01-21,Wireless Headphones,2,45.0,90.0
2026-01-21,USB-C Hub,4,45.0,180.0
2026-01-21,Laptop Stand,3,45.0,135.0
2026-01-22,Mechanical Keyboard,4,34.99,139.96
2026-01-24,Mechanical Keyboard,1,59.99,59.99
2026-01-27,Wireless Headphones,2,59.99,119.98
2026-01-28,Ergonomic Mouse,2,45.0,90.0
2026-01-28,USB-C Hub,4,34.99,139.96
2026-01-29,Mechanical Keyboard,2,59.99,119.98
2026-02-02,Ergonomic Mouse,3,45.0,135.0
2026-02-02,Ergonomic Mouse,2,34.99,69.98
2026-02-04,Laptop Stand,4,59.99,239.96
2026-02-04,Wireless Headphones,4,129.99,519.96
2026-02-05,Laptop Stand,3,34.99,104.97
2026-02-06,Ergonomic Mouse,3,34.99,104.97
2026-02-07,Ergonomic Mouse,1,129.99,129.99
2026-02-09,USB-C Hub,1,129.99,129.99
2026-02-10,USB-C Hub,2,45.0,90.0
2026-02-10,Ergonomic Mouse,2,129.99,259.98
2026-02-11,USB-C Hub,2,45.0,90.0
2026-02-13,Ergonomic Mouse,1,129.99,129.99
2026-02-14,Mechanical Keyboard,4,129.99,519.96
2026-02-17,Ergonomic Mouse,2,45.0,90.0
2026-02-17,Wireless Headphones,2,129.99,259.98
2026-02-18,Ergonomic Mouse,1,89.99,89.99
2026-02-19,Mechanical Keyboard,3,89.99,269.96999999999997
2026-02-20,Wireless Headphones,2,129.99,259.98
2026-02-20,Mechanical Keyboard,4,129.99,519.96
2026-02-21,Ergonomic Mouse,4,34.99,139.96
2026-02-22,Ergonomic Mouse,3,45.0,135.0
2026-02-22,USB-C Hub,4,45.0,180.0
2026-02-22,Wireless Headphones,4,129.99,519.96
2026-02-23,USB-C Hub,3,89.99,269.96999999999997
2026-02-23,Ergonomic Mouse,2,45.0,90.0
2026-02-24,USB-C Hub,4,34.99,139.96
2026-02-27,Ergonomic Mouse,1,45.0,45.0
2026-02-28,Wireless Headphones,1,34.99,34.99
2026-03-01,USB-C Hub,2,59.99,119.98
2026-03-03,USB-C Hub,2,45.0,90.0
2026-03-04,Wireless Headphones,3,34.99,104.97
2026-03-04,Wireless Headphones,3,45.0,135.0
2026-03-05,Mechanical Keyboard,2,89.99,179.98
2026-03-06,Mechanical Keyboard,3,129.99,389.97
2026-03-07,Laptop Stand,2,45.0,90.0
2026-03-12,USB-C Hub,3,89.99,269.96999999999997
2026-03-12,Wireless Headphones,3,59.99,179.97
2026-03-13,USB-C Hub,2,59.99,119.98
2026-03-13,USB-C Hub,1,34.99,34.99
2026-03-14,Wireless Headphones,2,34.99,69.98
2026-03-16,Mechanical Keyboard,1,129.99,129.99
2026-03-22,Laptop Stand,1,59.99,59.99
2026-03-22,Wireless Headphones,2,45.0,90.0
2026-03-23,USB-C Hub,4,45.0,180.0
2026-03-25,Laptop Stand,3,129.99,389.97
2026-03-27,Laptop Stand,3,45.0,135.0
2026-03-29,Wireless Headphones,1,59.99,59.99
2026-03-29,Wireless Headphones,2,129.99,259.98
2026-03-29,USB-C Hub,2,89.99,179.98
2026-03-30,Mechanical Keyboard,4,129.99,519.96
2026-03-30,Ergonomic Mouse,3,59.99,179.97
2026-03-30,USB-C Hub,3,45.0,135.0
2026-03-31,Wireless Headphones,2,45.0,90.0
2026-03-31,Laptop Stand,4,34.99,139.96
2026-04-02,USB-C Hub,3,89.99,269.96999999999997
2026-04-03,Laptop Stand,4,129.99,519.96
2026-04-05,Mechanical Keyboard,4,45.0,180.0
2026-04-06,USB-C Hub,4,89.99,359.96
2026-04-06,Ergonomic Mouse,4,34.99,139.96
2026-04-09,Wireless Headphones,4,89.99,359.96
2026-04-10,Wireless Headphones,2,89.99,179.98
2026-04-11,Mechanical Keyboard,1,89.99,89.99
2026-04-13,USB-C Hub,4,59.99,239.96
2026-04-13,Laptop Stand,4,129.99,519.96
2026-04-13,USB-C Hub,4,89.99,359.96
2026-04-14,Wireless Headphones,3,45.0,135.0
2026-04-14,Wireless Headphones,1,89.99,89.99
2026-04-14,Ergonomic Mouse,2,89.99,179.98
2026-04-16,Laptop Stand,3,34.99,104.97
2026-04-17,USB-C Hub,4,89.99,359.96
2026-04-18,USB-C Hub,3,45.0,135.0
2026-04-21,Wireless Headphones,1,59.99,59.99
2026-04-21,Mechanical Keyboard,2,34.99,69.98
2026-04-27,Wireless Headphones,1,129.99,129.99
2026-05-02,Ergonomic Mouse,2,129.99,259.98
2026-05-03,Wireless Headphones,2,89.99,179.98
2026-05-04,Ergonomic Mouse,4,129.99,519.96
2026-05-04,Ergonomic Mouse,3,89.99,269.96999999999997
2026-05-09,USB-C Hub,2,45.0,90.0
2026-05-10,Wireless Headphones,3,59.99,179.97
2026-05-10,Mechanical Keyboard,2,34.99,69.98
2026-05-11,Ergonomic Mouse,1,89.99,89.99
2026-05-11,Ergonomic Mouse,1,45.0,45.0
2026-05-11,Mechanical Keyboard,4,89.99,359.96
2026-05-12,Laptop Stand,1,59.99,59.99
2026-05-12,Mechanical Keyboard,2,129.99,259.98
2026-05-12,Wireless Headphones,4,45.0,180.0
2026-05-14,USB-C Hub,1,59.99,59.99
2026-05-15,Ergonomic Mouse,2,89.99,179.98
2026-05-15,Laptop Stand,3,129.99,389.97
2026-05-16,USB-C Hub,4,129.99,519.96
2026-05-16,USB-C Hub,3,34.99,104.97
2026-05-17,USB-C Hub,1,89.99,89.99
2026-05-19,Mechanical Keyboard,3,59.99,179.97
2026-05-22,Wireless Headphones,3,45.0,135.0
2026-05-23,Ergonomic Mouse,4,45.0,180.0
2026-05-26,USB-C Hub,2,89.99,179.98
2026-05-30,Wireless Headphones,1,45.0,45.0
2026-05-31,Ergonomic Mouse,2,129.99,259.98
